date,item,amount
2025-08-02,補食（団子あん）×22パック,2814
2025-08-02,乾燥機代その１,3980
2025-08-02,ロックアイス×8袋,2315
2025-08-02,補食（団子みたらし）×11パック,1532
2025-08-02,補食雑費,5305
2025-08-03,ロックアイス×８袋,2320
2025-08-03,ロックアイス(ロック）×5,1447
2025-08-03,補食団子×24パック,3188
2025-08-03,補食（ようかん、バームクーヘン等）,7445
2025-08-03,補食メロンデニッシュ×７,895
2025-08-03,水,88
2025-08-03,レジ袋,6
2025-08-03,横井用補食（バナナ）,237
2025-08-04,ロックアイス×２0袋,5810
2025-08-04,ロックアイス×20袋,5788
2025-08-04,補食（団子、あんぱん等）,4393
2025-08-04,補食（カステラ、バナナ）,3302
2025-08-04,補食（バームクーヘン、ドーナツ）,2045
2025-08-04,補食（ぼんち揚げ）,1580
2025-08-04,熱中症対策（OS-１、水２L×36本）,9393
2025-08-04,補食（inゼリー、ワッフル）,9064
2025-08-05,ロックアイス20袋,5788
2025-08-05,補食【SEIYUで購入】（ようかん、大福）,20408
2025-08-05,補食（カステラ、あんぱん）,5477
2025-08-05,ジャージ洗濯代,1300
2025-08-05,マネージャーTシャツ代（７人分）,17500
2025-08-05,乾燥機代その２,2000
2025-08-05,補食（inゼリー、ワッフル）,12010
2025-08-06,ロックアイス×20袋,5400
2025-08-06,ロックアイス×10袋,2700
2025-08-06,プロテイン１kg,3980
2025-08-06,畠山自家用車ガソリン代立替,5000
2025-08-06,雑費,2790
2025-08-07,合宿MVP賞Tシャツ,4420
2025-08-07,合宿新人賞手袋,2101
2025-08-07,合宿参加賞Tシャツ,781
